Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
551090,172 - S,1.0,REC,PLT,46.0,335439N,1182025W,DAYL,10.0,72.0,260.0,4.0,29.9799995422363,AUTR
100030,JUST ACFT SUPERSTOL,1.0,REC,PLT,57.0,431259N,1163256W,DAYL,10.0,59.0,150.0,10.0,30.1700000762939,UNK
551090,172M,1.0,REC,FLTI,56.0,028450N,0812923W,DAYL,10.0,73.0,20.0,10.0,30.0300006866455,NET
551090,172M,1.0,REC,DSTU,63.0,028450N,0812923W,DAYL,10.0,73.0,20.0,10.0,30.0300006866455,NET
508241,HAWKER HUNTER MK.58,1.0,TJ,PLT,45.0,003471N,0119457W,DAYL,10.0,72.0,182.1702255368382,6.791559076759154,29.9599990844727,MIL
404192,PA-23-250,2.0,REC,PLT,47.0,395635N,0911140W,DAYL,10.0,72.0,140.0,10.0,29.8500003814697,AUTR
551090,S211,1.0,TF,FLTI,60.0,331554N,1161826W,DAYL,10.0,72.0,164.62222297823436,5.2,29.886443759796403,AUTR
551090,S211,1.0,TF,DSTU,60.0,331554N,1161826W,DAYL,10.0,72.0,164.62222297823436,5.2,29.886443759796403,AUTR
552230,S 2C,1.0,REC,PLT,55.0,433622N,0725826W,DUSK,10.0,61.0,120.0,16.0,29.8700008392334,AUTR
552230,P 40B,1.0,REC,PLT,62.0,029612N,0805634W,DAYL,10.0,82.0,70.0,7.0,30.0200004577637,NONE
552230,162,1.0,REC,DSTU,57.0,414625N,0884220W,DAYL,9.0,52.0,230.0,6.0,30.0599994659424,AUTR
551400,172M,1.0,REC,FLTI,30.0,255056N,0812325W,DAYL,10.0,75.0,40.0,7.0,30.2800006866455,AUTR
551400,172M,1.0,REC,DSTU,20.0,255056N,0812325W,DAYL,10.0,75.0,40.0,7.0,30.2800006866455,AUTR
552230,PA 22-150,1.0,REC,PLT,43.0,401948N,0742048W,DAYL,10.0,54.0,290.0,15.0,30.1399993896484,AUTR
401342,UC 1,2.0,REC,PLT,60.0,315627N,0095810W,DAYL,10.0,81.0,270.0,5.0,30.1399993896484,NET
508342,EA 300,1.0,REC,PLT,40.0,355822N,0011584W,DAYL,10.0,72.0,350.0,7.0,30.2800006866455,NET
450330,P51 - D,1.0,REC,PLT,59.0,331828N,1113919W,DAYL,45.0,81.0,166.279711912921,6.800467372113911,30.0599994659424,AUTR
508241,7AC,1.0,REC,PLT,60.0,455841N,0114918W,DAYL,10.0,46.0,230.0,4.0,30.3199996948242,TVRA
551094,210B,1.0,REC,PLT,26.0,035921N,1143334W,DAYL,10.0,84.0,20.0,9.0,30.0300006866455,AUTR
404400,SR22,1.0,REC,PLT,59.0,041245N,0842949W,NDRK,3.0,45.0,260.0,10.0,29.7999992370605,NET
404400,SR22,1.0,REC,PRPS,65.0,041245N,0842949W,NDRK,3.0,45.0,260.0,10.0,29.7999992370605,NET
404901,510,2.0,TF,PLT,52.0,441939N,0931839W,DAYL,10.0,63.0,280.0,12.0,30.0699996948242,AUTR
402192,177,1.0,REC,PLT,58.0,351015N,0821049W,DAYL,10.0,57.0,230.0,6.0,29.9599990844727,NET
350342,M20C,1.0,REC,PLT,65.0,375155N,0802358W,DAYL,10.0,61.0,166.279711912921,6.800467372113911,30.0599994659424,AUTR
402400,M20K,1.0,REC,PLT,45.0,035634N,1054315W,NDRK,4.0,10.0,120.0,15.0,30.1200008392334,NONE
300230,7ECA,1.0,REC,PLT,65.0,324857N,0117822W,DAYL,10.0,68.0,230.0,7.0,30.0100002288818,AUTR
552230,KITFOX 6,1.0,REC,PLT,50.0,351224N,0082155W,DAYL,10.0,59.0,308.3518737120961,7.6997031327805345,30.0499992370605,TVRA
350000,172K,1.0,REC,FLTI,50.0,030527N,0895945W,NDRK,10.0,52.0,10.0,18.0,30.1700000762939,AUTR
350000,172K,1.0,REC,PLT,46.0,030527N,0895945W,NDRK,10.0,52.0,10.0,18.0,30.1700000762939,AUTR
552230,U206G,1.0,REC,PLT,57.0,034530N,1174654W,DAYL,10.0,68.0,250.0,7.0,30.0300006866455,UNK
350342,H 295,1.0,REC,PLT,34.0,645359N,0149102W,NITE,10.0,27.0,80.0,7.0,30.1499996185303,UNK
100030,F33A,1.0,REC,PLT,62.0,041199N,0723142W,DAYL,10.0,37.0,320.0,7.0,30.2700004577637,FSS
550095,210,1.0,REC,PLT,65.0,421331N,0853254W,DUSK,10.0,61.0,270.0,5.0,29.9699993133545,AUTR
300342,401A,2.0,REC,PLT,63.0,385015N,0092032W,DUSK,10.0,19.0,290.0,19.0,30.2000007629395,UNK
300342,401A,2.0,REC,PASS,50.0,385015N,0092032W,DUSK,10.0,19.0,290.0,19.0,30.2000007629395,UNK
300342,500 B,2.0,REC,PLT,47.0,414646N,0874233W,NITE,10.0,12.0,250.0,13.0,29.9799995422363,AUTR
350240,172S,1.0,REC,DSTU,44.0,272344N,0823316W,DAYL,10.0,72.0,330.0,6.0,29.9699993133545,UNK
251200,737 7H4,2.0,TF,PLT,64.0,325030N,0096510W,NITE,10.0,66.0,160.0,13.0,30.0200004577637,NWS
251200,737 7H4,2.0,TF,CPLT,31.0,325030N,0096510W,NITE,10.0,66.0,160.0,13.0,30.0200004577637,NWS
150200,737-8H4,2.0,TF,PLT,58.0,325030N,0096510W,NITE,10.0,66.0,160.0,13.0,30.0200004577637,NWS
150200,737-8H4,2.0,TF,CPLT,38.0,325030N,0096510W,NITE,10.0,66.0,160.0,13.0,30.0200004577637,NWS
500341,PA 24-250,1.0,REC,PLT,59.0,040436N,1234914W,DAYL,9.0,52.0,120.0,15.0,30.0300006866455,UNK
402192,PA 28-181,1.0,REC,PLT,59.0,394627N,0104182W,NITE,10.0,34.0,210.0,6.0,29.9599990844727,UNK
402192,PA 28-181,1.0,REC,FLTI,56.0,394627N,0104182W,NITE,10.0,34.0,210.0,6.0,29.9599990844727,UNK
404340,500A,2.0,REC,PLT,63.0,302045N,0971224W,DAYL,10.0,64.0,240.0,9.0,29.7000007629395,AUTR
350330,EMB-505,2.0,TF,PLT,60.0,033500N,0116300W,DAYL,10.0,73.0,152.91820136904155,4.0,30.2000007629395,AUTR
300240,VANS AIRCRAFT RV 3,1.0,REC,PLT,29.0,321835N,0107340W,DAYL,10.0,52.0,290.0,7.0,30.1100006103516,NONE
551094,T210,1.0,REC,PLT,26.0,275456N,0822658W,DAYL,10.0,81.0,200.0,7.0,29.9699993133545,AUTR
551240,182Q,1.0,REC,PLT,38.0,351016N,0120311W,DAYL,10.0,64.0,136.1328421129197,3.0,30.2600002288818,NONE
450000,AT 502B,1.0,TP,PLT,55.0,323323N,1144124W,NITE,10.0,63.0,260.84709801750193,8.967173742923741,29.8600006103516,UNK
452240,170B,1.0,REC,PLT,50.0,045128N,1041332W,DAYL,10.0,50.0,230.0,10.0,29.4799995422363,UNK
508240,PA 28-180,1.0,REC,PLT,58.0,344914N,0087238W,DAYL,10.0,72.0,190.0,21.0,30.1399993896484,AUTR
401342,182,1.0,REC,PLT,48.0,414122N,0725153W,DAYL,10.0,34.0,200.0,6.0,30.2900009155273,AUTR
500192,PA 24-250,1.0,REC,CPLT,32.0,041574N,0086225W,DAYL,7.0,21.0,180.0,8.0,30.2700004577637,AUTR
502900,TB 20 TRINIDAD,1.0,REC,PLT,52.0,321328N,0804151W,NITE,2.0,61.0,250.0,6.0,29.9699993133545,AUTR
100050,LONG EZ,1.0,REC,PLT,65.0,312829N,0971913W,DAYL,10.0,79.0,190.0,21.0,30.0,UNK
300401,PA28,1.0,REC,PLT,53.0,035712N,0891424W,NITE,4.0,34.0,20.0,9.0,30.4200000762939,UNK
550240,PA 28R-201T,1.0,REC,PLT,37.0,032587N,0965011W,DAYL,13.0,77.0,200.0,9.0,29.9500007629395,UNK
300341,CJ-6,1.0,REC,PLT,49.0,332739N,1114342W,DAYL,40.0,66.0,160.0,6.0,29.9500007629395,AUTR
551092,PA-46-310P,1.0,REC,PLT,53.0,273054N,0815250W,DAYL,10.0,75.0,90.0,10.0,30.1900005340576,COWX
400192,210,1.0,REC,PLT,44.0,261814N,0009893W,NR,10.0,73.0,90.0,7.0,30.2199993133545,UNK
100050,210 5(205),1.0,REC,PLT,46.0,411135N,0743740W,DAYL,10.0,39.0,260.0,5.0,30.2800006866455,AUTR
552230,BL 65,1.0,REC,PLT,56.0,004778N,1221653W,DAYL,10.0,54.0,186.12202541896283,6.0,30.0699996948242,AUTR
508240,SR20,1.0,REC,DSTU,47.0,040277N,0105041W,DAYL,10.0,57.0,110.0,3.0,30.2099990844727,AUTR
551390,PA 18-150,1.0,REC,PLT,61.0,455541N,0894351W,DAYL,10.0,32.0,170.0,14.0,30.4200000762939,AUTR
402342,150J,1.0,REC,DSTU,38.0,042445N,0714134W,DAYL,10.0,30.0,91.15,5.64,30.6399993896484,NET
508241,S-14,1.0,REC,PLT,37.0,411219N,0895750W,DAYL,10.0,48.0,210.0,10.0,29.5699996948242,UNK
550240,PITTS S 2B,1.0,REC,PLT,23.0,035102N,0107547W,DAYL,10.0,82.0,166.279711912921,6.800467372113911,30.0599994659424,UNK
550230,150L,1.0,REC,DSTU,34.0,444310N,0932550W,DAYL,10.0,54.0,200.0,7.0,29.8700008392334,AUTR
550230,150L,1.0,REC,FLTI,24.0,444310N,0932550W,DAYL,10.0,54.0,200.0,7.0,29.8700008392334,AUTR
100040,182S,1.0,REC,PLT,43.0,395040N,0894040W,DAYL,10.0,34.0,30.0,5.0,30.3099994659424,AUTR
450342,GLASTAR,1.0,REC,PLT,64.0,444324N,1065843W,DAYL,10.0,48.0,50.0,3.0,30.0,AUTR
402360,737 824,2.0,TF,PLT,43.0,304650N,0831647W,DAYL,9.4,0.0,164.62222297823436,5.2,29.886443759796403,COMP
402360,737 824,2.0,TF,CPLT,45.0,304650N,0831647W,DAYL,9.4,0.0,164.62222297823436,5.2,29.886443759796403,COMP
350240,182T,1.0,REC,PLT,51.0,040437N,0114143W,NDRK,10.0,37.0,223.2321167436722,7.933242784992785,29.8799991607666,AUTR
452220,PA 32R-301T,1.0,REC,PLT,58.0,037135N,0931557W,NITE,10.0,52.0,180.0,6.0,30.2600002288818,UNK
452220,PA 32R-301T,1.0,REC,PASS,22.0,037135N,0931557W,NITE,10.0,52.0,180.0,6.0,30.2600002288818,UNK
452220,PA 32R-301T,1.0,REC,PASS,22.0,037135N,0931557W,NITE,10.0,52.0,180.0,6.0,30.2600002288818,UNK
452220,PA 32R-301T,1.0,REC,PASS,22.0,037135N,0931557W,NITE,10.0,52.0,180.0,6.0,30.2600002288818,UNK
402341,REVELATION,1.0,REC,PLT,62.0,313628N,0891152W,DAYL,9.6,66.0,360.0,7.0,30.2199993133545,TVRA
100050,PA 46 350P,1.0,REC,PLT,58.0,293719N,0953925W,DAYL,10.0,73.0,260.0,12.0,30.0,AUTR
452270,PA 18-150,1.0,REC,PLT,33.0,047363N,1141237W,DAYL,10.0,30.0,280.0,4.0,29.9699993133545,UNK
350333,T182T,1.0,REC,PLT,21.0,383413N,0090918W,DAYL,10.0,46.0,131.68853174603174,5.0,30.3199996948242,UNK
